Datum,t_amb,E_dir_hor
08.22.2003 00:00,2.84E+01,0
08.22.2003 01:00,2.79E+01,0
08.22.2003 02:00,2.75E+01,0
08.22.2003 03:00,2.72E+01,0
08.22.2003 04:00,2.69E+01,0
08.22.2003 05:00,2.68E+01,0
08.22.2003 06:00,2.69E+01,5.6
08.22.2003 07:00,2.75E+01,43.6
08.22.2003 08:00,2.85E+01,155.8
08.22.2003 09:00,2.96E+01,274.8
08.22.2003 10:00,3.07E+01,377
08.22.2003 11:00,3.16E+01,439.6
08.22.2003 12:00,3.23E+01,449.2
08.22.2003 13:00,3.28E+01,404.7
08.22.2003 14:00,3.31E+01,258.5
08.22.2003 15:00,3.31E+01,197.4
08.22.2003 16:00,3.29E+01,81
08.22.2003 17:00,3.23E+01,16.1
08.22.2003 18:00,3.16E+01,0
08.22.2003 19:00,3.09E+01,0
08.22.2003 20:00,3.03E+01,0
08.22.2003 21:00,2.97E+01,0
08.22.2003 22:00,2.91E+01,0
08.22.2003 23:00,2.85E+01,0
