Datum,t_amb,E_dir_hor,ES_load_actual_entsoe_power_statistics
01.01.2003 00:00,1.98E+01,0,24088
01.01.2003 01:00,2.22E+01,0,22843
01.01.2003 02:00,2.21E+01,0,21297
01.01.2003 03:00,2.19E+01,0,19972
01.01.2003 04:00,2.18E+01,0,19002
01.01.2003 05:00,2.17E+01,0,18648
01.01.2003 06:00,2.17E+01,0,18648
01.01.2003 07:00,2.19E+01,0,18962
01.01.2003 08:00,2.24E+01,1.6,18709
01.01.2003 09:00,2.31E+01,9.8,18647
01.01.2003 10:00,2.39E+01,19.5,19797
01.01.2003 11:00,2.46E+01,19.5,21227
01.01.2003 12:00,2.51E+01,13,22046
01.01.2003 13:00,2.54E+01,11.4,23149
01.01.2003 14:00,2.56E+01,5.9,23161
01.01.2003 15:00,2.55E+01,1.2,21892
01.01.2003 16:00,2.52E+01,0,21591
01.01.2003 17:00,2.47E+01,0,22436
01.01.2003 18:00,2.42E+01,0,25632
01.01.2003 19:00,2.38E+01,0,26933
01.01.2003 20:00,2.34E+01,0,27744
01.01.2003 21:00,2.29E+01,0,28287
01.01.2003 22:00,2.25E+01,0,28415
01.01.2003 23:00,2.21E+01,0,26585
01.02.2003 00:00,2.17E+01,0,24114
01.02.2003 01:00,2.12E+01,0,21635
01.02.2003 02:00,2.08E+01,0,19747
01.02.2003 03:00,2.04E+01,0,18754
01.02.2003 04:00,2.02E+01,0,18446
01.02.2003 05:00,2.00E+01,0,18733
01.02.2003 06:00,1.99E+01,0,19945
01.02.2003 07:00,2.03E+01,34.1,21403
01.02.2003 08:00,2.13E+01,45.8,22904
01.02.2003 09:00,2.22E+01,43.1,24728
01.02.2003 10:00,2.32E+01,152.7,27421
01.02.2003 11:00,2.41E+01,76.9,28187
01.02.2003 12:00,2.49E+01,190.3,27911
01.02.2003 13:00,2.58E+01,433.1,28225
01.02.2003 14:00,2.63E+01,194.9,28163
01.02.2003 15:00,2.64E+01,241.3,27387
01.02.2003 16:00,2.62E+01,119.3,27033
01.02.2003 17:00,2.55E+01,0,27584
01.02.2003 18:00,2.47E+01,0,30532
01.02.2003 19:00,2.41E+01,0,31365
01.02.2003 20:00,2.35E+01,0,31612
01.02.2003 21:00,2.28E+01,0,31561
01.02.2003 22:00,2.22E+01,0,31026
01.02.2003 23:00,2.16E+01,0,29156
01.03.2003 00:00,2.11E+01,0,26780
01.03.2003 01:00,2.05E+01,0,24292
01.03.2003 02:00,1.99E+01,0,22155
01.03.2003 03:00,1.95E+01,0,20777
01.03.2003 04:00,1.92E+01,0,20158
01.03.2003 05:00,1.89E+01,0,20251
01.03.2003 06:00,1.88E+01,0,20607
01.03.2003 07:00,1.92E+01,61.8,21031
01.03.2003 08:00,2.06E+01,249.9,21434
01.03.2003 09:00,2.23E+01,449.4,22553
01.03.2003 10:00,2.41E+01,589.7,24855
01.03.2003 11:00,2.57E+01,663.3,26223
01.03.2003 12:00,2.69E+01,674,26654
01.03.2003 13:00,2.77E+01,617.5,27417
01.03.2003 14:00,2.81E+01,505.1,27731
01.03.2003 15:00,2.80E+01,331.8,26967
01.03.2003 16:00,2.74E+01,131,26393
01.03.2003 17:00,2.63E+01,0,26793
01.03.2003 18:00,2.53E+01,0,29563
01.03.2003 19:00,2.46E+01,0,30745
01.03.2003 20:00,2.39E+01,0,31526
01.03.2003 21:00,2.31E+01,0,31963
01.03.2003 22:00,2.24E+01,0,31489
01.03.2003 23:00,2.17E+01,0,29510
01.04.2003 00:00,2.10E+01,0,26515
01.04.2003 01:00,2.04E+01,0,23680
01.04.2003 02:00,1.98E+01,0,21829
01.04.2003 03:00,1.94E+01,0,20892
01.04.2003 04:00,1.91E+01,0,20710
01.04.2003 05:00,1.88E+01,0,21320
01.04.2003 06:00,1.87E+01,0,23537
01.04.2003 07:00,1.91E+01,40.1,27185
01.04.2003 08:00,2.02E+01,168.7,30747
01.04.2003 09:00,2.16E+01,320.2,33420
01.04.2003 10:00,2.31E+01,429.9,35300
01.04.2003 11:00,2.45E+01,499.1,35557
01.04.2003 12:00,2.55E+01,474.7,35390
01.04.2003 13:00,2.62E+01,486,35245
01.04.2003 14:00,2.66E+01,393.7,34179
01.04.2003 15:00,2.66E+01,246.4,33695
01.04.2003 16:00,2.60E+01,93,33640
01.04.2003 17:00,2.51E+01,0,34356
01.04.2003 18:00,2.42E+01,0,35992
01.04.2003 19:00,2.36E+01,0,36022
01.04.2003 20:00,2.30E+01,0,35737
01.04.2003 21:00,2.23E+01,0,35516
01.04.2003 22:00,2.17E+01,0,33945
01.04.2003 23:00,2.11E+01,0,30973
01.05.2003 00:00,2.05E+01,0,27894
01.05.2003 01:00,1.99E+01,0,25022
01.05.2003 02:00,1.94E+01,0,23135
01.05.2003 03:00,1.89E+01,0,22203
01.05.2003 04:00,1.87E+01,0,21882
01.05.2003 05:00,1.84E+01,0,22269
01.05.2003 06:00,1.83E+01,0,24283
01.05.2003 07:00,1.87E+01,31.2,27524
01.05.2003 08:00,1.97E+01,106.6,30720
01.05.2003 09:00,2.10E+01,256.1,33162
01.05.2003 10:00,2.24E+01,313.3,34632
01.05.2003 11:00,2.37E+01,463.9,34886
01.05.2003 12:00,2.48E+01,454.3,34434
01.05.2003 13:00,2.54E+01,373.7,34125
01.05.2003 14:00,2.57E+01,247.4,32892
01.05.2003 15:00,2.56E+01,173.9,32237
01.05.2003 16:00,2.51E+01,68.5,32148
01.05.2003 17:00,2.42E+01,0,32340
01.05.2003 18:00,2.34E+01,0,33604
01.05.2003 19:00,2.28E+01,0,33140
01.05.2003 20:00,2.23E+01,0,32799
01.05.2003 21:00,2.17E+01,0,32706
01.05.2003 22:00,2.12E+01,0,31920
01.05.2003 23:00,2.06E+01,0,30144
01.06.2003 00:00,2.01E+01,0,27731
01.06.2003 01:00,1.96E+01,0,25232
01.06.2003 02:00,1.91E+01,0,23042
01.06.2003 03:00,1.87E+01,0,21707
01.06.2003 04:00,1.84E+01,0,21186
01.06.2003 05:00,1.82E+01,0,21084
01.06.2003 06:00,1.81E+01,0,21287
01.06.2003 07:00,1.84E+01,6.3,21798
01.06.2003 08:00,1.91E+01,40.4,22130
01.06.2003 09:00,2.02E+01,67.1,23233
01.06.2003 10:00,2.12E+01,106.2,25155
01.06.2003 11:00,2.21E+01,137.7,26359
01.06.2003 12:00,2.28E+01,115.2,26426
01.06.2003 13:00,2.32E+01,61.2,26791
01.06.2003 14:00,2.33E+01,37,26278
01.06.2003 15:00,2.32E+01,40.4,25260
01.06.2003 16:00,2.29E+01,12.4,24992
01.06.2003 17:00,2.23E+01,0,25894
01.06.2003 18:00,2.17E+01,0,28854
01.06.2003 19:00,2.12E+01,0,30294
01.06.2003 20:00,2.07E+01,0,31426
01.06.2003 21:00,2.02E+01,0,32417
01.06.2003 22:00,1.97E+01,0,32416
01.06.2003 23:00,1.91E+01,0,30184
01.07.2003 00:00,1.86E+01,0,27039
01.07.2003 01:00,1.82E+01,0,24396
01.07.2003 02:00,1.78E+01,0,22794
01.07.2003 03:00,1.74E+01,0,22041
01.07.2003 04:00,1.72E+01,0,21918
01.07.2003 05:00,1.71E+01,0,22635
