hour;global_horizontal_W_m2;direkt_horizontal_W_m2;diffuse_horizontal_W_m2;temp_amb
1;0;0;0;03
1;0;0;0;03
2;0;0;0;07
3;0;0;0;07
4;0;0;0;07
5;0;0;0;06
6;0;0;0;06
7;0;0;0;06
8;0;0;0;06
9;0;0;0;06
10;9;0;9;06
11;87;15.41064903;71.58935097;07
12;69;0;69;09
13;112;11.60783519;100.3921648;09
14;129;35.04040964;93.95959036;10
15;76;7.806730226;68.19326977;10
16;4;0;4;10
17;0;0;0;09
18;0;0;0;09
19;0;0;0;08
20;0;0;0;08
21;0;0;0;08
22;0;0;0;07
23;0;0;0;07
24;0;0;0;07
25;0;0;0;06
26;0;0;0;06
27;0;0;0;05
28;0;0;0;05
29;0;0;0;04
30;0;0;0;04
31;0;0;0;03
32;0;0;0;03
33;0;0;0;02
34;47;9.428441353;37.57155865;04
35;132;62.27836801;69.72163199;06
36;131;32.14978168;98.85021832;08
37;134;28.67083499;105.329165;08
38;173;76.31801479;96.68198521;09
39;81;15.45353837;65.54646163;09
40;54;14.77885627;39.22114373;08
41;0;0;0;07
42;0;0;0;07
43;0;0;0;07
44;0;0;0;07
45;0;0;0;06
46;0;0;0;06
47;0;0;0;06
48;0;0;0;05
49;0;0;0;05
50;0;0;0;05
51;0;0;0;05
52;0;0;0;04
53;0;0;0;04
54;0;0;0;04
55;0;0;0;04
56;0;0;0;03
57;0;0;0;03
58;74;37.52553835;36.47446165;05
59;153;108.8515904;44.14840958;08
60;200;105.8593891;94.1406109;10
61;120;17.10040017;102.8995998;11
62;181;85.4527686;95.5472314;11
63;79;13.42705211;65.57294789;11
64;40;9.016856793;30.98314321;10
65;0;0;0;09
66;0;0;0;08
67;0;0;0;08
68;0;0;0;08
69;0;0;0;07
70;0;0;0;07
71;0;0;0;06
72;0;0;0;06
73;0;0;0;06
74;0;0;0;05
75;0;0;0;04
76;0;0;0;04
77;0;0;0;03
78;0;0;0;03
79;0;0;0;02
80;0;0;0;02
81;0;0;0;01
82;55;18.37334658;36.62665342;02
83;99;25.36020077;73.63979923;04
84;50;0;50;05
85;33;0;33;04
86;97;8.848099681;88.15190032;04
87;80;13.24922137;66.75077863;04
88;27;0;27;04
89;0;0;0;04
90;0;0;0;03
91;0;0;0;03
92;0;0;0;03
93;0;0;0;03
94;0;0;0;02
95;0;0;0;02
96;0;0;0;02
97;0;0;0;02
98;0;0;0;02
99;0;0;0;01
100;0;0;0;01
101;0;0;0;01
102;0;0;0;01
103;0;0;0;01
104;0;0;0;01
105;0;0;0;01
106;7;0;7;01
107;16;0;16;01
108;20;0;20;01
109;44;0;44;02
110;47;0;47;02
111;31;0;31;02
112;17;0;17;02
113;0;0;0;02
114;0;0;0;02
115;0;0;0;02
116;0;0;0;02
117;0;0;0;01
118;0;0;0;01
119;0;0;0;01
120;0;0;0;01
121;0;0;0;01
122;0;0;0;00
123;0;0;0;00
124;0;0;0;00
125;0;0;0;-01
