Datum,global_horizontal_W_m2,direkt_horizontal_W_m2,diffuse_horizontal_W_m2,temp_amb
01.01.2003 00:00,0,0,0,3
01.01.2003 01:00,0,0,0,7
01.01.2003 02:00,0,0,0,7
01.01.2003 03:00,0,0,0,7
01.01.2003 04:00,0,0,0,6
01.01.2003 05:00,0,0,0,6
01.01.2003 06:00,0,0,0,6
01.01.2003 07:00,0,0,0,6
01.01.2003 08:00,0,0,0,6
01.01.2003 09:00,9,0,9,6
01.01.2003 10:00,87,15.41064903,71.58935097,7
01.01.2003 11:00,69,0,69,9
01.01.2003 12:00,112,11.60783519,100.3921648,9
01.01.2003 13:00,129,35.04040964,93.95959036,10
01.01.2003 14:00,76,7.806730226,68.19326977,10
01.01.2003 15:00,4,0,4,10
01.01.2003 16:00,0,0,0,9
01.01.2003 17:00,0,0,0,9
01.01.2003 18:00,0,0,0,8
01.01.2003 19:00,0,0,0,8
01.01.2003 20:00,0,0,0,8
01.01.2003 21:00,0,0,0,7
01.01.2003 22:00,0,0,0,7
01.01.2003 23:00,0,0,0,7
01.02.2003 00:00,0,0,0,6
01.02.2003 01:00,0,0,0,6
01.02.2003 02:00,0,0,0,5
01.02.2003 03:00,0,0,0,5
01.02.2003 04:00,0,0,0,4
01.02.2003 05:00,0,0,0,4
01.02.2003 06:00,0,0,0,3
01.02.2003 07:00,0,0,0,3
01.02.2003 08:00,0,0,0,2
01.02.2003 09:00,47,9.428441353,37.57155865,4
01.02.2003 10:00,132,62.27836801,69.72163199,6
01.02.2003 11:00,131,32.14978168,98.85021832,8
01.02.2003 12:00,134,28.67083499,105.329165,8
01.02.2003 13:00,173,76.31801479,96.68198521,9
01.02.2003 14:00,81,15.45353837,65.54646163,9
01.02.2003 15:00,54,14.77885627,39.22114373,8
01.02.2003 16:00,0,0,0,7
01.02.2003 17:00,0,0,0,7
01.02.2003 18:00,0,0,0,7
01.02.2003 19:00,0,0,0,7
01.02.2003 20:00,0,0,0,6
01.02.2003 21:00,0,0,0,6
01.02.2003 22:00,0,0,0,6
01.02.2003 23:00,0,0,0,5
01.03.2003 00:00,0,0,0,5
01.03.2003 01:00,0,0,0,5
01.03.2003 02:00,0,0,0,5
01.03.2003 03:00,0,0,0,4
01.03.2003 04:00,0,0,0,4
01.03.2003 05:00,0,0,0,4
01.03.2003 06:00,0,0,0,4
01.03.2003 07:00,0,0,0,3
01.03.2003 08:00,0,0,0,3
01.03.2003 09:00,74,37.52553835,36.47446165,5
01.03.2003 10:00,153,108.8515904,44.14840958,8
01.03.2003 11:00,200,105.8593891,94.1406109,10
01.03.2003 12:00,120,17.10040017,102.8995998,11
01.03.2003 13:00,181,85.4527686,95.5472314,11
01.03.2003 14:00,79,13.42705211,65.57294789,11
01.03.2003 15:00,40,9.016856793,30.98314321,10
01.03.2003 16:00,0,0,0,9
01.03.2003 17:00,0,0,0,8
01.03.2003 18:00,0,0,0,8
01.03.2003 19:00,0,0,0,8
01.03.2003 20:00,0,0,0,7
01.03.2003 21:00,0,0,0,7
01.03.2003 22:00,0,0,0,6
01.03.2003 23:00,0,0,0,6
01.04.2003 00:00,0,0,0,6
01.04.2003 01:00,0,0,0,5
01.04.2003 02:00,0,0,0,4
01.04.2003 03:00,0,0,0,4
01.04.2003 04:00,0,0,0,3
01.04.2003 05:00,0,0,0,3
01.04.2003 06:00,0,0,0,2
01.04.2003 07:00,0,0,0,2
01.04.2003 08:00,0,0,0,1
01.04.2003 09:00,55,18.37334658,36.62665342,2
01.04.2003 10:00,99,25.36020077,73.63979923,4
01.04.2003 11:00,50,0,50,5
01.04.2003 12:00,33,0,33,4
01.04.2003 13:00,97,8.848099681,88.15190032,4
01.04.2003 14:00,80,13.24922137,66.75077863,4
01.04.2003 15:00,27,0,27,4
01.04.2003 16:00,0,0,0,4
01.04.2003 17:00,0,0,0,3
01.04.2003 18:00,0,0,0,3
01.04.2003 19:00,0,0,0,3
01.04.2003 20:00,0,0,0,3
01.04.2003 21:00,0,0,0,2
01.04.2003 22:00,0,0,0,2
01.04.2003 23:00,0,0,0,2
01.05.2003 00:00,0,0,0,2
01.05.2003 01:00,0,0,0,2
01.05.2003 02:00,0,0,0,1
01.05.2003 03:00,0,0,0,1
01.05.2003 04:00,0,0,0,1
01.05.2003 05:00,0,0,0,1
01.05.2003 06:00,0,0,0,1
01.05.2003 07:00,0,0,0,1
01.05.2003 08:00,0,0,0,1
01.05.2003 09:00,7,0,7,1
01.05.2003 10:00,16,0,16,1
01.05.2003 11:00,20,0,20,1
01.05.2003 12:00,44,0,44,2
01.05.2003 13:00,47,0,47,2
01.05.2003 14:00,31,0,31,2
01.05.2003 15:00,17,0,17,2
01.05.2003 16:00,0,0,0,2
01.05.2003 17:00,0,0,0,2
01.05.2003 18:00,0,0,0,2
01.05.2003 19:00,0,0,0,2
01.05.2003 20:00,0,0,0,1
01.05.2003 21:00,0,0,0,1
01.05.2003 22:00,0,0,0,1
01.05.2003 23:00,0,0,0,1
01.06.2003 00:00,0,0,0,1
01.06.2003 01:00,0,0,0,0
01.06.2003 02:00,0,0,0,0
01.06.2003 03:00,0,0,0,0
01.06.2003 04:00,0,0,0,-1
01.06.2003 05:00,0,0,0,-1
01.06.2003 06:00,0,0,0,-1
01.06.2003 07:00,0,0,0,-2
01.06.2003 08:00,0,0,0,-2
01.06.2003 09:00,16,0,16,-2
01.06.2003 10:00,24,0,24,-1
01.06.2003 11:00,53,0,53,-1
01.06.2003 12:00,89,0,89,0
01.06.2003 13:00,38,0,38,1
01.06.2003 14:00,48,0,48,0
01.06.2003 15:00,24,0,24,0
01.06.2003 16:00,0,0,0,0
01.06.2003 17:00,0,0,0,0
01.06.2003 18:00,0,0,0,0
01.06.2003 19:00,0,0,0,0
01.06.2003 20:00,0,0,0,0
01.06.2003 21:00,0,0,0,-1
01.06.2003 22:00,0,0,0,-1
01.06.2003 23:00,0,0,0,-1
01.07.2003 00:00,0,0,0,-1
01.07.2003 01:00,0,0,0,-1
01.07.2003 02:00,0,0,0,-1
01.07.2003 03:00,0,0,0,-1
01.07.2003 04:00,0,0,0,-1
01.07.2003 05:00,0,0,0,-1
01.07.2003 06:00,0,0,0,-1
01.07.2003 07:00,0,0,0,-1
01.07.2003 08:00,0,0,0,-1
01.07.2003 09:00,26,0,26,0
01.07.2003 10:00,48,0,48,1
01.07.2003 11:00,85,0,85,2
01.07.2003 12:00,75,0,75,2
01.07.2003 13:00,65,0,65,3
01.07.2003 14:00,22,0,22,2
01.07.2003 15:00,30,0,30,2
01.07.2003 16:00,0,0,0,2
01.07.2003 17:00,0,0,0,2
01.07.2003 18:00,0,0,0,1
01.07.2003 19:00,0,0,0,1
01.07.2003 20:00,0,0,0,1
01.07.2003 21:00,0,0,0,1
01.07.2003 22:00,0,0,0,0
01.07.2003 23:00,0,0,0,0
01.08.2003 00:00,0,0,0,0
01.08.2003 01:00,0,0,0,-1
01.08.2003 02:00,0,0,0,-1
01.08.2003 03:00,0,0,0,-2
01.08.2003 04:00,0,0,0,-2
01.08.2003 05:00,0,0,0,-3
01.08.2003 06:00,0,0,0,-3
01.08.2003 07:00,0,0,0,-4
01.08.2003 08:00,0,0,0,-4
01.08.2003 09:00,26,0,26,-4
01.08.2003 10:00,84,8.432375394,75.56762461,-2
01.08.2003 11:00,120,18.18393341,101.8160666,0
01.08.2003 12:00,73,0,73,0
01.08.2003 13:00,134,36.96458614,97.03541386,1
01.08.2003 14:00,86,11.62367148,74.37632852,1
01.08.2003 15:00,37,3.017987962,33.98201204,1
01.08.2003 16:00,0,0,0,0
01.08.2003 17:00,0,0,0,0
01.08.2003 18:00,0,0,0,-1
01.08.2003 19:00,0,0,0,-1
01.08.2003 20:00,0,0,0,-2
01.08.2003 21:00,0,0,0,-2
01.08.2003 22:00,0,0,0,-2
01.08.2003 23:00,0,0,0,-3
01.09.2003 00:00,0,0,0,-3
01.09.2003 01:00,0,0,0,-3
01.09.2003 02:00,0,0,0,-4
01.09.2003 03:00,0,0,0,-4
01.09.2003 04:00,0,0,0,-4
01.09.2003 05:00,0,0,0,-5
01.09.2003 06:00,0,0,0,-5
01.09.2003 07:00,0,0,0,-5
01.09.2003 08:00,0,0,0,-6
01.09.2003 09:00,21,0,21,-5
01.09.2003 10:00,47,0,47,-4
01.09.2003 11:00,109,12.05082098,96.94917902,-3
01.09.2003 12:00,74,0,74,-2
01.09.2003 13:00,78,0,78,-2
01.09.2003 14:00,63,0,63,-2
01.09.2003 15:00,32,0.183092252,31.81690775,-2
01.09.2003 16:00,0,0,0,-3
01.09.2003 17:00,0,0,0,-3
01.09.2003 18:00,0,0,0,-3
01.09.2003 19:00,0,0,0,-3
01.09.2003 20:00,0,0,0,-3
01.09.2003 21:00,0,0,0,-3
01.09.2003 22:00,0,0,0,-3
01.09.2003 23:00,0,0,0,-4
01.10.2003 00:00,0,0,0,-4
01.10.2003 01:00,0,0,0,-4
01.10.2003 02:00,0,0,0,-4
01.10.2003 03:00,0,0,0,-4
01.10.2003 04:00,0,0,0,-4
01.10.2003 05:00,0,0,0,-4
01.10.2003 06:00,0,0,0,-4
01.10.2003 07:00,0,0,0,-4
01.10.2003 08:00,0,0,0,-4
01.10.2003 09:00,30,0,30,-3
01.10.2003 10:00,45,0,45,-2
01.10.2003 11:00,66,0,66,-1
01.10.2003 12:00,61,0,61,-1
01.10.2003 13:00,23,0,23,-1
01.10.2003 14:00,43,0,43,-1
01.10.2003 15:00,16,0,16,-1
01.10.2003 16:00,0,0,0,-2
01.10.2003 17:00,0,0,0,-2
01.10.2003 18:00,0,0,0,-2
01.10.2003 19:00,0,0,0,-2
01.10.2003 20:00,0,0,0,-2
01.10.2003 21:00,0,0,0,-3
01.10.2003 22:00,0,0,0,-3
01.10.2003 23:00,0,0,0,-3
01.11.2003 00:00,0,0,0,-3
01.11.2003 01:00,0,0,0,-4
01.11.2003 02:00,0,0,0,-4
01.11.2003 03:00,0,0,0,-4
01.11.2003 04:00,0,0,0,-4
01.11.2003 05:00,0,0,0,-5
01.11.2003 06:00,0,0,0,-5
01.11.2003 07:00,0,0,0,-5
01.11.2003 08:00,0,0,0,-6
01.11.2003 09:00,80,45.15147839,34.84852161,-3
01.11.2003 10:00,164,118.6686316,45.3313684,0
01.11.2003 11:00,214,164.1909217,49.80907833,2
01.11.2003 12:00,241,188.8244664,52.17553362,4
01.11.2003 13:00,218,165.8356287,52.16437129,5
01.11.2003 14:00,144,89.45842704,54.54157296,5
01.11.2003 15:00,56,22.89114486,33.10885514,4
01.11.2003 16:00,0,0,0,3
01.11.2003 17:00,0,0,0,2
01.11.2003 18:00,0,0,0,1
01.11.2003 19:00,0,0,0,0
01.11.2003 20:00,0,0,0,-1
01.11.2003 21:00,0,0,0,-1
01.11.2003 22:00,0,0,0,-2
01.11.2003 23:00,0,0,0,-3
01.12.2003 00:00,0,0,0,-4
01.12.2003 01:00,0,0,0,-5
01.12.2003 02:00,0,0,0,-6
01.12.2003 03:00,0,0,0,-7
01.12.2003 04:00,0,0,0,-8
